Company,Details
bydotpy,Machine Learning
Lumin,"Machine Learning, Computer Vision"
Giza Systems,Machine Learning
datagearbi,Machine Learning
Sprints AI,The first tech-focused guaranteed-hiring learning programs in MEA
BasicsEngage,AI-Powered Marketing Automation Platfrom
LEAXON,LEAXON is an online learning platform that offers courses & consultations.
ONVISION,Research-Driven Innovations Based On Vision
Plan A interior design,Plan A is one-stop-shop design platform that helps you design your home.
Shahrzad,Magical storyteller in your hand
Humachina,A Human-Centered A.I. startup to reinvent the way people learn and perform
creatokids,artificial intelligence educational app as smart English tutor anytime 
Visual and AI Solutions (VAIS),Developing AI-Powered Solutions for Climate Crisis Mitigation
Rafiq - Arabic Virtual Assistant,"Colloquial Arabic CallBot, Acting as a first-line for Contact Centers"
GPTs,GPTs is One-Stop AI Assistant in for multiple Services .
SocialSensei.ai,Accurately predict influencer marketing campaigns prior to execution
Seen tech,Intelligent Video Analytics
WideBot,Empowers businesses to build smart chatbots that speak MENA language.
Daft Art,Create the album cover you've always dreamed of
E-sorus,A B2B Platform for sourcing interior and Architecture materials 
 Deeper Insights,Machine Learning 
 Yalantis,Machine Learning 
Supaapps GmbH,Machine Learning 
 SmartTech,Machine Learning 
Transatlantic Technology and Services,Machine Learning 
SudoTechs,Machine Learning 
zTechnium,Machine Learning 
Cool Pool Studio - Muhamed Gabal,Machine Learning 
Systems Limited,Machine Learning 
